date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:22:36	24/24	---M--	200	added ('OK')	text/plain	etag:%225d5cb8d4-18%22	https://vicmart.salescabal.com/robots.txt		(from )
08:22:37	45170/45170	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:36%20GMT	https://vicmart.salescabal.com/	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/index.html	(from )
08:22:37	2566/2566	---M--	200	added ('OK')	image/png	etag:%225e379f98-a06%22	https://vicmart.salescabal.com/store/alpha/favicon.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/favicon.png	(from https://vicmart.salescabal.com/)
08:22:40	614520/614520	---M--	200	added ('OK')	text/css	etag:%225e9fd11a-96078%22	https://vicmart.salescabal.com/store/alpha/css/style.min.css	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/css/style.min.css	(from https://vicmart.salescabal.com/)
08:22:40	43850/43850	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:39%20GMT	https://vicmart.salescabal.com/collections	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/collections.html	(from https://vicmart.salescabal.com/)
08:22:41	46277/46277	---M--	200	added ('OK')	image/png	etag:%228af2420add2433d23288c8ee254c686d%22	https://salescabal.s3.eu-west-3.amazonaws.com/stores/1339/vicmart.png	C:/My%20Web%20Sites/zeus/salescabal.s3.eu-west-3.amazonaws.com/stores/1339/vicmart.png	(from https://vicmart.salescabal.com/)
08:22:42	43850/43850	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:41%20GMT	https://vicmart.salescabal.com/browse	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/browse.html	(from https://vicmart.salescabal.com/)
08:22:43	41987/41987	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:42%20GMT	https://vicmart.salescabal.com/cart	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/cart.html	(from https://vicmart.salescabal.com/)
08:22:43	879/879	---M--	200	added ('OK')	image/png	etag:%221020569784be46ea5d068f1ce576813e%22	https://salescabal.s3.eu-west-3.amazonaws.com/default.png	C:/My%20Web%20Sites/zeus/salescabal.s3.eu-west-3.amazonaws.com/default.png	(from https://vicmart.salescabal.com/)
08:22:44	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:22:44%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/)
08:22:45	39925/39925	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:44%20GMT	https://vicmart.salescabal.com/account/login	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/account/login.html	(from https://vicmart.salescabal.com/)
08:22:46	39739/39739	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2007:22:45%20GMT	https://vicmart.salescabal.com/account/register	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/account/register.html	(from https://vicmart.salescabal.com/)
08:22:46	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:22:46%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/)
08:22:47	386/386	---MC-	302	error ('Found')	text/html	date:Sat,%2031%20Oct%202020%2007:22:46%20GMT	https://vicmart.salescabal.com/checkout	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/checkout	(from https://vicmart.salescabal.com/)
08:22:48	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/zeus/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://vicmart.salescabal.com/)
08:22:49	5978/5978	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2007:22:49%20GMT	https://vicmart.salescabal.com/store/alpha/images/gradient/g30.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/images/gradient/g30.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:50	625613/625613	---M--	200	added ('OK')	application/javascript	etag:%225e44f17a-98bcd%22	https://vicmart.salescabal.com/store/alpha/js/bundle.js	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/js/bundle.js	(from https://vicmart.salescabal.com/)
08:22:50	5978/5978	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2007:22:49%20GMT	https://vicmart.salescabal.com/store/alpha/images/gradient/g40.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/images/gradient/g40.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:50	4289/4289	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-10c1%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow1.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow1.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:51	5661/5661	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-161d%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow2.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow2.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:51	6428/6428	---M--	200	added ('OK')	image/png	etag:%225e379f98-191c%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow3.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/shadow3.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:52	933/933	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-3a5%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:52	931/931	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-3a3%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_white.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_white.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:52	938/938	---M--	200	added ('OK')	image/png	etag:%225e379f98-3aa%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_3x3.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_3x3.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:53	935/935	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-3a7%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/gridtile_3x3_white.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:53	2746/2746	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-aba%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/boxed_bgtile.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/boxed_bgtile.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:54	149/149	---M--	200	added ('OK')	image/png	etag:%225e379f98-95%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/navigdots_bgtile.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/navigdots_bgtile.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:54	1153/1153	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-481%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullets.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullets.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:55	278/278	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-116%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullets2.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullets2.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:55	924/924	---M--	200	added ('OK')	image/png	etag:%225e379f98-39c%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullet_boxed.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/bullet_boxed.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:56	743/743	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-2e7%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/navigdots.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/navigdots.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:56	1517/1517	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-5ed%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/large_left.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/large_left.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:57	1561/1561	---M--	200	added ('OK')	image/png	etag:%225e379f98-619%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/large_right.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/large_right.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:57	670/670	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-29e%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_left.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_left.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:58	668/668	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-29c%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_right.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_right.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:58	807/807	---M--	200	added ('OK')	image/png	etag:%225e379f98-327%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_left.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_left.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:59	820/820	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-334%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_right.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_right.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:22:59	846/846	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-34e%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_left_boxed.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_left_boxed.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:00	807/807	---M--	200	added ('OK')	image/png	etag:%225e379f98-327%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_right_boxed.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/small_right_boxed.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:00	43543/43543	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-aa17%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrowleft.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrowleft.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:01	43719/43719	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-aac7%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrowright.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrowright.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:01	348/348	---M--	200	added ('OK')	image/png	etag:%225e379f98-15c%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_left2.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_left2.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:02	343/343	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-157%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_right2.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/arrow_right2.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:02	81/81	---M--	200	added ('OK')	image/png	etag:%225d5cb8d4-51%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/timer.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/timer.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:03	184/184	---M--	200	added ('OK')	image/png	etag:%225e379f98-b8%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/coloredbg.png	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/coloredbg.png	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:03	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225d5cb8d4-9f1%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/loader.gif	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/assets/loader.gif	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:04	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d5cb8d4-2f68%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons.eot?5510888	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons90c6.eot	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:04	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%225e379f98-1d70%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons.woff?5510888	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons90c6.woff	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:05	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%225d5cb8d4-2ec0%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons.ttf?5510888	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons90c6.ttf	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:05	13532/13532	---M--	200	added ('OK')	image/svg+xml	etag:%225d5cb8d4-34dc%22	https://vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons.svg?5510888	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/external/rs-plugin/font/revicons90c6.svg	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:06	147496/147496	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e379f98-24028%22	https://vicmart.salescabal.com/store/alpha/font/fonts/wokiee.eot?g7nf10	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/font/fonts/wokiee0959.eot	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:07	147336/147336	---M--	200	added ('OK')	application/octet-stream	etag:%225d5cb8d4-23f88%22	https://vicmart.salescabal.com/store/alpha/font/fonts/wokiee.ttf?g7nf10	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/font/fonts/wokiee0959.ttf	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
08:23:07	147412/147412	---M--	200	added ('OK')	application/font-woff	etag:%225d5cb8d4-23fd4%22	https://vicmart.salescabal.com/store/alpha/font/fonts/wokiee.woff?g7nf10	C:/My%20Web%20Sites/zeus/vicmart.salescabal.com/store/alpha/font/fonts/wokiee0959.woff	(from https://vicmart.salescabal.com/store/alpha/css/style.min.css)
